timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0.00,3324,3440,3306,2922,1356,0,1612,1868,1497,0,0,1099,61,0,0,606,3.108,4.252,8.545,0.133,0.006,-0.012,-0.127,-4.465,9.950,-0.285,0.471,-1.321,angry
0.01,3371,3390,3312,2960,1374,0,1503,1774,826,0,0,869,6,0,0,531,2.942,4.111,8.602,0.167,0.048,0.021,-0.989,-4.482,9.644,-0.688,0.684,-2.263,angry
0.02,3487,3306,3341,2987,1410,0,1430,1460,750,0,0,457,0,0,0,416,3.383,4.937,8.071,0.121,0.147,0.096,-2.600,-4.657,10.192,-0.828,0.731,-2.522,angry
0.03,3550,3363,3361,3014,1335,0,1386,1437,327,0,0,10,0,0,0,229,4.096,5.116,8.126,0.047,0.152,0.106,-10.776,-4.029,10.942,-1.240,0.464,-1.989,angry
0.04,3606,3380,3415,3057,1282,0,1423,1411,73,0,0,0,0,21,9,122,3.247,5.037,8.270,0.096,0.054,0.018,-11.238,-3.594,13.949,-0.541,0.847,0.307,angry
0.05,3663,3458,3437,3071,1282,0,1370,1339,0,0,0,0,0,0,0,135,3.019,4.360,8.583,0.088,0.019,-0.016,-6.393,-3.093,14.147,-0.200,1.429,0.956,angry
0.06,3695,3494,3457,3071,1424,0,1373,1457,0,0,2,0,0,0,0,92,3.033,4.348,8.521,0.058,-0.008,-0.016,-0.943,0.103,12.567,0.295,1.765,0.406,angry
0.07,3690,3486,3467,3081,1403,0,1491,1535,0,0,0,0,0,0,0,39,3.134,4.396,8.461,0.037,0.005,-0.015,1.037,0.922,9.981,0.256,1.395,-0.559,angry
0.08,3709,3513,3471,3070,1414,0,1535,1556,0,0,0,0,0,0,0,26,3.153,4.415,8.526,0.038,0.002,-0.019,0.764,-0.271,10.084,0.326,1.298,-0.959,angry
0.09,3725,3542,3473,3056,1569,0,1630,1658,0,0,0,0,0,0,0,45,3.146,4.403,8.540,0.008,-0.023,0.002,-0.151,0.000,8.916,0.365,1.289,-1.192,angry
0.10,3719,3568,3465,3015,1666,0,1732,1821,0,0,0,7,0,0,0,53,3.158,4.398,8.564,-0.012,-0.071,0.016,0.883,-2.002,9.383,0.341,0.996,-1.394,angry
0.11,3678,3547,3442,2987,1727,0,1929,2066,0,0,0,0,0,0,0,6,3.117,4.245,8.499,-0.046,-0.064,0.031,4.290,-3.527,6.577,0.260,0.711,-2.013,angry
0.12,3647,3568,3427,2934,1813,0,2109,2294,0,0,2,0,0,23,0,17,3.270,4.216,8.411,-0.046,0.026,0.033,4.843,-4.053,4.628,-0.078,0.659,-2.438,angry
0.13,3577,3557,3376,2866,1728,0,2268,2601,0,0,0,0,0,0,0,6,8.337,7.750,7.391,-0.145,0.105,0.107,4.573,-7.175,5.808,-0.794,0.555,-3.222,angry
