timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0.00,3146,2529,3312,3407,1235,0,1311,2559,1085,1507,2715,3749,877,47,2589,3528,0.031,3.699,9.335,0.043,0.026,-0.012,0.622,-2.777,9.704,0.004,0.023,0.018,angry
0.01,3142,2533,3313,3409,1243,0,1360,2591,1096,1496,2725,3685,887,47,2623,3538,0.089,3.740,9.285,0.041,0.025,-0.010,0.599,-2.717,9.732,0.007,0.021,0.017,angry
0.02,3141,2533,3306,3404,1246,0,1369,2609,1051,1447,2720,3726,902,47,2614,3540,0.024,3.747,9.266,0.042,0.028,-0.007,0.620,-2.701,9.747,0.010,0.020,0.013,angry
0.03,3138,2539,3311,3407,1254,0,1371,2630,1050,1459,2738,3731,925,47,2615,3543,0.074,3.699,9.328,0.043,0.027,-0.005,0.646,-2.725,9.761,0.008,0.023,0.020,angry
0.04,3136,2542,3303,3401,1259,0,1376,2641,956,1464,2735,3729,915,47,2636,3549,0.081,3.754,9.237,0.043,0.024,-0.009,0.642,-2.775,9.708,0.007,0.020,0.015,angry
0.05,3138,2542,3307,3399,1255,0,1396,2643,879,1427,2735,3793,922,50,2643,3631,0.077,3.747,9.222,0.048,0.023,-0.010,0.611,-2.689,9.735,0.004,0.021,0.016,angry
0.06,3134,2541,3309,3402,1264,0,1407,2652,907,1439,2741,3691,925,119,2641,3555,0.108,3.740,9.227,0.045,0.028,-0.009,0.630,-2.679,9.768,0.001,0.016,0.015,angry
0.07,3132,2529,3282,3397,1265,0,1399,2656,903,1462,2751,3735,937,50,2637,3559,0.074,3.747,9.285,0.044,0.028,-0.003,0.601,-2.713,9.697,0.007,0.021,0.017,angry
0.08,3135,2533,3300,3393,1264,0,1423,2671,895,1416,2751,3733,927,48,2635,3559,0.079,3.742,9.309,0.043,0.028,-0.007,0.673,-2.729,9.742,0.006,0.015,0.016,angry
0.09,3133,2527,3296,3389,1283,0,1426,2677,869,1438,2730,3729,947,51,2636,3560,0.050,3.733,9.285,0.044,0.026,-0.013,0.601,-2.705,9.713,0.007,0.020,0.017,angry
0.10,3138,2538,3298,3398,1264,0,1427,2701,789,1371,2695,3769,853,47,2613,3564,0.010,3.733,9.313,0.043,0.029,-0.008,0.594,-2.696,9.749,0.012,0.021,0.015,angry
0.11,3138,2534,3296,3402,1253,0,1422,2716,544,1233,2733,3692,775,48,2585,3572,-0.002,3.754,9.301,0.041,0.027,-0.010,0.603,-2.708,9.742,0.016,0.019,0.016,angry
0.12,3132,2523,3294,3403,1247,0,1382,2751,403,1046,2725,3661,659,48,2651,3567,0.101,3.687,9.313,0.037,0.029,-0.006,0.594,-2.708,9.814,0.032,0.016,0.014,angry
0.13,3083,2510,3270,3398,1156,0,1359,2815,204,691,2720,3531,587,41,2491,3579,0.105,3.917,9.187,0.032,0.031,-0.002,0.630,-2.720,9.723,0.041,0.007,0.009,angry
0.14,3071,2477,3237,3373,1010,0,1398,2898,202,583,2608,3239,437,41,2335,3603,0.019,3.795,9.268,0.019,0.030,-0.007,0.766,-2.306,9.651,0.007,0.032,-0.011,angry
0.15,2953,2329,3133,3283,943,0,1498,2996,179,425,2531,3043,249,38,2291,3620,0.041,3.773,9.309,-0.004,0.051,-0.009,0.627,-2.708,9.723,0.043,0.015,0.010,angry
0.16,2737,2165,3023,3182,905,0,1578,3086,149,147,2474,2783,207,27,2300,3643,0.026,3.651,9.330,0.016,0.042,-0.007,0.599,-2.581,9.737,0.036,0.015,0.010,angry
0.17,2639,2057,2976,3129,880,0,1700,3145,123,63,2454,2557,166,17,2183,3667,0.113,3.527,9.361,0.030,0.041,-0.005,0.627,-2.629,9.685,0.031,0.024,0.012,angry
0.18,2555,1974,2928,3099,832,0,1771,3194,27,20,2444,2428,154,3,2224,3677,0.043,3.701,9.323,0.027,0.038,-0.012,0.596,-2.693,9.692,0.030,0.017,0.006,angry
0.19,2475,1861,2881,3039,816,0,1783,3247,7,26,2428,2477,165,0,2221,3688,0.034,3.713,9.270,0.037,0.035,-0.008,0.601,-2.660,9.665,0.034,0.021,0.008,angry
0.20,2395,1685,2827,2973,848,0,1833,3243,0,0,2403,2456,153,0,2235,3699,0.067,3.723,9.242,0.027,0.045,-0.010,0.649,-2.646,9.730,0.035,0.023,0.014,angry
0.21,2310,1420,2742,2892,847,0,1846,3275,27,3,2413,2387,165,0,2267,3705,0.036,3.692,9.275,0.029,0.042,-0.014,0.589,-2.674,9.711,0.034,0.024,0.009,angry
0.22,2266,1094,2614,2800,837,0,1840,3297,0,1,2387,2409,182,3,2291,3721,0.069,3.704,9.280,0.034,0.043,-0.010,0.656,-2.622,9.685,0.039,0.023,0.010,angry
0.23,2258,986,2559,2800,752,0,1870,3312,0,0,2382,2039,116,0,2357,3743,0.117,3.608,9.321,0.054,0.030,-0.010,0.711,-2.540,9.716,0.045,0.010,-0.001,angry
0.24,2349,967,2608,2832,634,0,1852,3309,0,0,2387,2107,90,0,2375,3747,-0.026,3.697,9.323,0.062,0.027,-0.009,0.625,-2.591,9.749,0.039,0.011,0.005,angry
0.25,2381,1008,2633,2879,688,0,1791,3299,0,0,2408,2312,189,0,2477,3700,0.012,3.682,9.328,0.064,0.027,-0.011,0.716,-2.581,9.780,-0.042,0.030,0.039,angry
0.26,2437,1018,2641,2879,641,0,1649,3259,0,0,2446,2507,205,0,2571,3823,0.024,3.749,9.309,0.061,0.015,-0.004,0.613,-2.650,9.874,-0.013,0.025,0.026,angry
0.27,2368,907,2499,2721,587,0,1488,3212,5,0,2454,2585,295,0,2606,3797,0.074,3.713,9.402,0.060,-0.010,-0.002,0.596,-2.595,9.835,0.011,0.008,0.024,angry
0.28,2065,491,2043,2244,629,0,1177,3082,41,17,2472,2603,426,3,2715,3811,0.117,3.737,9.347,0.068,-0.025,0.001,0.706,-2.737,9.663,0.050,-0.010,0.014,angry
0.29,1808,384,1509,1730,499,0,685,2784,0,7,2505,2159,531,0,2845,3865,-0.321,3.115,8.578,0.165,-0.072,-0.009,0.711,-2.847,9.941,0.087,-0.055,-0.019,angry
0.30,1680,336,1018,1141,286,0,0,1535,0,37,2505,1915,559,0,2921,3868,0.010,3.256,9.232,0.219,-0.157,0.029,0.479,-2.933,10.534,0.111,-0.085,-0.062,angry
0.31,1501,398,911,477,0,0,0,0,0,9,2039,1203,748,0,3091,3931,-1.877,1.824,10.621,0.443,-0.412,-0.446,0.728,-2.672,9.831,0.176,-0.086,-0.049,angry
0.32,1363,160,511,322,0,0,0,0,0,0,0,667,876,33,3214,4011,2.452,2.610,10.223,1.229,-0.434,-0.791,1.444,-2.684,9.723,0.256,-0.114,-0.073,angry
0.33,1195,0,0,0,0,0,0,0,0,0,28,575,977,0,3275,4045,1.566,2.327,12.459,1.707,-0.787,-1.425,0.582,-2.365,9.737,0.192,-0.111,-0.092,angry
0.34,464,0,0,0,0,0,0,0,0,0,0,419,1067,0,3359,4071,2.083,1.293,14.260,1.642,-0.700,-1.814,0.855,-2.251,9.835,0.141,-0.081,-0.078,angry
0.35,16,0,0,0,0,0,0,0,0,0,0,217,1172,27,3421,4095,6.330,4.882,14.545,1.313,-0.547,-1.929,0.929,-2.339,9.756,0.092,-0.047,-0.041,angry
0.36,47,0,0,0,0,0,0,0,16,0,0,101,1245,0,3456,4095,7.077,1.365,16.644,0.225,-0.019,-1.672,0.934,-2.282,9.756,0.083,-0.044,-0.043,angry
0.37,81,0,0,0,0,0,0,0,0,0,0,47,1211,0,3485,4095,7.496,-1.353,11.569,-0.182,0.094,-1.351,0.857,-2.377,9.831,0.083,-0.044,-0.043,angry
0.38,109,0,0,0,0,0,0,0,0,0,0,0,1243,0,3510,4007,6.938,-2.346,9.833,-0.261,-0.170,-0.904,0.833,-2.248,9.807,0.062,-0.035,-0.025,angry
0.39,118,0,0,0,0,0,0,0,0,2,145,21,1236,0,3519,4095,6.694,-2.830,9.886,-0.384,-0.463,-0.455,0.840,-2.121,9.701,0.023,-0.003,0.006,angry
0.40,117,0,0,0,0,0,0,0,0,0,0,0,1231,0,3525,4095,6.153,-2.950,9.732,-0.596,-0.525,-0.029,0.903,-2.246,9.682,-0.013,0.021,0.018,angry
0.41,113,0,0,0,0,0,0,0,0,0,0,0,1132,0,3539,4095,4.650,-2.739,9.644,-0.791,-0.562,0.351,0.850,-2.322,9.826,-0.030,0.040,0.022,angry
0.42,52,0,0,0,0,0,0,0,0,5,0,0,1093,0,3379,4095,3.496,-1.817,10.192,-0.964,-0.650,0.702,0.903,-2.310,9.737,-0.046,0.045,0.033,angry
0.43,32,0,0,0,0,0,0,0,0,1,0,0,1082,0,3465,4095,2.382,-0.230,10.353,-1.256,-0.561,1.022,0.855,-2.368,9.754,-0.046,0.045,0.033,angry
0.44,16,0,0,0,0,0,0,0,39,6,0,0,1005,0,3391,4095,0.795,0.007,10.209,-1.396,-0.470,1.161,0.862,-2.349,9.740,-0.043,0.056,0.041,angry
0.45,38,0,0,0,0,0,0,0,0,7,0,0,1083,0,3417,4095,-1.003,0.364,9.847,-1.521,-0.392,1.178,0.792,-2.440,9.720,-0.045,0.084,0.056,angry
0.46,0,0,0,0,0,0,0,0,0,11,99,0,1055,0,3465,4095,-1.741,1.123,9.306,-1.572,-0.355,1.041,0.903,-2.456,9.833,-0.047,0.084,0.056,angry
0.47,11,0,0,0,0,0,0,0,9,3,0,0,1084,0,3455,4095,-1.018,2.433,8.294,-1.532,-0.246,0.866,0.819,-2.423,9.862,-0.043,0.113,0.056,angry
0.48,0,0,0,0,0,0,0,0,0,2,0,50,989,0,3455,4093,-0.338,3.984,6.132,-1.368,0.078,0.835,0.816,-2.452,9.862,-0.030,0.121,0.065,angry
0.49,0,0,0,0,0,0,0,0,0,0,0,157,997,0,3447,4095,-3.311,6.699,8.614,-1.012,-0.098,0.909,0.766,-2.373,9.833,-0.030,0.131,0.078,angry
0.50,0,0,0,0,0,0,0,0,0,0,53,285,1033,0,3464,4094,-4.283,10.072,10.010,-1.156,-0.309,0.856,0.654,-2.308,9.881,-0.030,0.131,0.078,angry
0.51,0,0,0,0,0,0,0,0,0,0,74,355,983,3,3462,4095,-4.566,11.339,7.793,-1.315,-0.119,0.613,0.637,-2.363,9.675,-0.031,0.141,0.086,angry
0.52,0,0,0,0,0,0,0,0,0,1,481,612,1094,0,3469,4092,-5.040,12.076,4.324,-1.171,0.193,0.302,0.812,-2.409,9.699,-0.021,0.159,0.111,angry
0.53,0,0,0,0,0,0,0,0,0,1,980,717,1093,0,3449,4094,-2.488,19.613,-4.183,-0.294,0.302,0.405,0.670,-2.109,9.622,-0.037,0.233,0.202,angry
0.54,0,0,0,0,0,0,0,855,0,0,1870,1061,1189,0,3537,4095,-9.735,18.591,-1.154,0.593,1.247,-0.178,0.713,-1.587,9.562,-0.202,0.236,0.205,angry
0.55,0,0,0,0,0,0,0,2042,0,0,2449,1772,1259,0,3431,4067,-3.757,19.613,-3.548,2.202,0.153,0.177,0.591,-2.049,9.941,-0.286,0.261,0.221,angry
