timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0.00,1802,1626,2832,2335,1264,0,2436,3519,0,823,2331,2110,53,0,2976,3379,0.007,3.510,9.321,0.045,0.032,-0.010,0.031,-2.504,9.869,0.021,0.011,0.012,
0.01,1801,1614,2829,2240,1294,0,2421,3442,4,815,2326,2071,57,1,2991,3409,-0.098,3.548,9.397,0.043,0.035,-0.009,0.187,-2.583,9.811,0.033,0.015,0.012,
0.02,1814,1605,2807,2317,1256,0,2408,3515,1,796,2329,2065,51,0,3007,3421,0.038,3.539,9.369,0.042,0.028,-0.005,0.165,-2.636,9.797,0.039,0.012,0.011,
0.03,1801,1563,2801,2322,1277,0,2416,3523,5,699,2218,1933,57,1,3007,3445,0.034,3.541,9.359,0.045,0.030,-0.006,0.218,-2.588,9.706,0.048,0.020,0.008,
0.04,1790,1553,2761,2224,1286,0,2418,3450,0,611,2193,1578,0,1,3029,3487,0.098,3.551,9.404,0.048,0.031,-0.006,0.206,-2.531,9.759,0.026,0.014,0.011,
0.05,1787,1505,2771,2317,1229,0,2414,3535,0,619,2119,1485,67,0,3037,3511,0.012,3.440,9.194,0.038,0.029,-0.006,0.172,-2.591,9.773,0.022,0.016,0.018,
0.06,1773,1462,2763,2318,1221,0,2384,3524,0,629,2160,1323,27,0,3049,3539,-0.026,3.527,9.369,0.049,0.030,-0.015,0.139,-2.516,9.776,0.025,0.010,0.012,
0.07,1773,1439,2754,2218,1205,0,2362,3504,0,588,2126,1179,31,3,3033,3541,-0.065,3.433,9.335,0.046,0.029,-0.009,0.208,-2.567,9.766,0.025,0.010,0.015,
0.08,1775,1395,2736,2320,1179,0,2379,3536,9,581,2119,1128,16,0,3060,3562,0.132,3.553,9.316,0.045,0.038,-0.009,0.194,-2.567,9.697,0.030,0.014,0.009,
0.09,1778,1351,2720,2323,1179,0,2369,3521,0,585,2062,840,40,1,3065,3591,-0.038,3.460,9.364,0.042,0.034,-0.009,0.192,-2.423,9.692,0.018,0.010,0.014,
0.10,1776,1292,2707,2217,1182,0,2363,3504,0,579,2060,711,43,0,3079,3596,-0.017,3.474,9.364,0.047,0.033,-0.005,0.192,-2.586,9.728,0.023,0.016,0.019,
