timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0,0,0,0,0,0,0,0,0,1307,2171,2247,2104,3448,45,3703,3967,0.69,5.684,10.257,-1.143,-0.025,0.27,1.209,-3.302,9.524,-0.056,0.013,0.068,happy
0.01,0,0,0,0,0,0,0,0,1381,2316,2303,2239,3452,61,3682,3897,-0.249,6.555,9.931,-1.213,0.02,0.096,1.223,-3.364,9.455,-0.053,0.011,0.058,happy
0.02,0,0,0,0,0,0,0,0,1753,2490,2293,2366,3482,47,3644,3877,-1.238,6.565,8.698,-1.219,-0.058,-0.114,1.125,-3.4,9.491,-0.044,0.005,0.046,happy
0.03,0,0,0,0,0,0,0,0,1955,2535,2316,2367,3494,53,3631,3853,-1.372,7.159,7.415,-1.076,-0.097,-0.291,1.216,-3.349,9.436,-0.034,0.007,0.047,happy
0.04,0,0,0,0,0,0,0,0,2091,2629,2321,2409,3516,50,3526,3799,-1.08,7.104,5.502,-0.761,0.017,-0.474,1.243,-3.349,9.459,-0.027,0.015,0.045,happy
0.05,0,0,0,0,0,0,0,0,2333,2700,2326,2427,3527,39,3528,3734,-0.56,7.175,4.875,-0.277,0.154,-0.539,1.188,-3.45,9.445,-0.017,0.027,0.039,happy
0.06,0,0,0,0,0,0,0,0,2349,2707,2331,2491,3539,48,3485,3721,1.288,8.866,2.696,0.685,0.21,-0.22,1.238,-3.371,9.373,-0.016,0.034,0.044,happy
0.07,0,0,0,0,0,0,0,0,2521,2731,2367,2622,3492,51,3386,3656,1.3,3.517,6.586,0.891,0.848,-0.681,1.247,-3.364,9.479,-0.013,0.044,0.046,happy
0.08,0,0,0,0,0,0,0,0,2843,2799,2449,2681,3573,47,3261,3545,1.276,0.742,12.706,0.625,0.115,-0.349,1.223,-3.383,9.562,-0.034,0.021,0.045,happy
0.09,0,0,0,0,0,0,0,1145,2958,2777,2354,2695,3536,13,3163,3482,1.611,-0.048,6.033,1.355,0.119,-0.172,1.216,-3.292,9.364,-0.05,0.006,0.032,happy
