timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0.00,2513,2085,3083,2647,1371,0,1595,2805,136,1350,2433,3311,767,39,2583,3531,0.010,3.649,9.328,0.041,0.025,-0.006,0.579,-2.691,9.792,0.008,0.021,0.014,happy
0.01,2515,2096,3071,2642,1375,0,1584,2800,141,1371,2433,3311,796,40,2591,3535,-0.031,3.658,9.349,0.046,0.027,-0.004,0.577,-2.684,9.795,0.011,0.021,0.013,happy
0.02,2511,2094,3069,2638,1378,0,1578,2793,143,1370,2449,3311,825,37,2585,3534,-0.029,3.646,9.340,0.046,0.022,-0.009,0.563,-2.674,9.716,0.005,0.020,0.013,happy
0.03,2533,2080,3071,2604,1397,0,1575,2758,163,1337,2439,3315,782,41,2595,3533,-0.034,3.627,9.268,0.046,0.023,-0.007,0.546,-2.705,9.850,0.005,0.023,0.017,happy
0.04,2513,2096,3069,2638,1381,0,1585,2781,153,1362,2439,3274,803,41,2527,3537,-0.029,3.601,9.357,0.045,0.026,-0.007,0.570,-2.682,9.833,0.006,0.026,0.017,happy
0.05,2511,2096,3071,2631,1383,0,1581,2771,167,1394,2439,3312,758,41,2588,3541,-0.048,3.658,9.304,0.042,0.023,-0.003,0.543,-2.684,9.831,0.002,0.025,0.018,happy
0.06,2490,2086,3043,2610,1370,0,1559,2743,163,1397,2444,3320,805,42,2580,3543,-0.005,3.622,9.292,0.044,0.027,-0.005,0.579,-2.662,9.754,0.007,0.025,0.017,happy
0.07,2513,2111,3071,2627,1392,0,1584,2768,169,1399,2444,3320,788,43,2579,3532,0.002,3.651,9.333,0.043,0.024,-0.009,0.599,-2.665,9.749,0.004,0.024,0.014,happy
0.08,2514,2115,3079,2629,1394,0,1584,2768,170,1403,2441,3324,855,86,2569,3527,-0.041,3.610,9.340,0.045,0.024,-0.006,0.608,-2.667,9.732,0.006,0.024,0.015,happy
0.09,2514,2091,3071,2594,1402,0,1584,2736,169,1415,2439,3333,869,41,2568,3543,0.014,3.606,9.328,0.042,0.027,-0.006,0.582,-2.670,9.711,0.007,0.020,0.017,happy
0.10,2514,2124,3085,2629,1396,0,1587,2771,175,1406,2431,3327,845,39,2583,3539,-0.017,3.634,9.361,0.044,0.026,-0.006,0.572,-2.686,9.747,0.004,0.023,0.017,happy
0.11,2515,2128,3083,2625,1394,0,1593,2766,181,1420,2500,3338,797,45,2579,3545,-0.036,3.618,9.278,0.045,0.022,-0.009,0.579,-2.648,9.799,0.010,0.023,0.016,happy
0.12,2496,2083,3069,2602,1392,0,1610,2743,171,1429,2413,3285,809,45,2579,3547,-0.017,3.649,9.304,0.044,0.024,-0.004,0.572,-2.686,9.780,0.008,0.021,0.015,happy
0.13,2518,2129,3085,2638,1391,0,1600,2771,168,1431,2416,3337,793,43,2584,3548,-0.041,3.673,9.301,0.044,0.026,-0.010,0.599,-2.653,9.744,0.007,0.023,0.014,happy
0.14,2519,2137,3087,2630,1389,0,1600,2779,163,1440,2444,3339,815,41,2589,3547,-0.017,3.637,9.285,0.043,0.024,-0.005,0.601,-2.677,9.725,0.003,0.024,0.016,happy
0.15,2523,2112,3089,2613,1392,0,1609,2738,164,1463,2413,3341,792,39,2589,3549,-0.012,3.642,9.342,0.045,0.026,-0.010,0.563,-2.660,9.706,0.004,0.023,0.015,happy
0.16,2526,2145,3092,2630,1392,0,1613,2782,165,1446,2413,3337,829,40,2585,3546,-0.022,3.666,9.373,0.044,0.026,-0.006,0.584,-2.646,9.780,0.007,0.022,0.016,happy
0.17,2523,2151,3091,2640,1396,0,1613,2780,198,1485,2372,3347,846,0,2590,3547,-0.036,3.632,9.280,0.042,0.028,-0.010,0.591,-2.634,9.749,0.001,0.025,0.016,happy
0.18,2528,2162,3097,2608,1408,0,1612,2754,138,1493,2431,3349,856,42,2575,3547,-0.022,3.656,9.328,0.046,0.024,-0.010,0.639,-2.689,9.692,0.002,0.021,0.016,happy
0.19,2529,2160,3100,2643,1417,0,1616,2789,179,1496,2503,3345,854,89,2577,3541,-0.031,3.670,9.297,0.040,0.026,-0.007,0.577,-2.662,9.740,0.000,0.025,0.019,happy
0.20,2541,2179,3110,2645,1426,0,1627,2787,179,1501,2403,3352,839,43,2547,3551,-0.010,3.632,9.328,0.045,0.026,-0.006,0.567,-2.679,9.723,-0.001,0.028,0.015,happy
0.21,2557,2159,3114,2640,1442,0,1631,2752,180,1507,2439,3327,829,41,2543,3544,-0.024,3.608,9.316,0.046,0.023,-0.006,0.589,-2.693,9.730,0.000,0.020,0.017,happy
0.22,2547,2192,3120,2666,1454,0,1632,2783,188,1494,2439,3353,827,43,2531,3541,0.005,3.634,9.306,0.050,0.027,-0.007,0.613,-2.634,9.814,0.001,0.022,0.018,happy
0.23,2554,2206,3131,2672,1441,0,1631,2772,149,1497,2444,3355,819,28,2479,3535,-0.019,3.675,9.323,0.044,0.027,-0.007,0.596,-2.689,9.749,0.003,0.024,0.015,happy
0.24,2559,2179,3141,2634,1472,0,1633,2749,166,1495,2446,3357,828,41,2453,3531,0.005,3.697,9.287,0.047,0.027,-0.009,0.591,-2.708,9.771,-0.002,0.027,0.017,happy
0.25,2555,2208,3144,2679,1475,0,1631,2774,159,1491,2449,3353,853,23,2443,3499,0.022,3.675,9.297,0.048,0.026,-0.004,0.565,-2.662,9.685,0.001,0.022,0.014,happy
0.26,2559,2208,3152,2682,1489,0,1633,2769,173,1497,2444,3357,823,41,2413,3517,-0.041,3.632,9.330,0.042,0.023,-0.006,0.589,-2.667,9.747,0.004,0.023,0.015,happy
0.27,2559,2205,3152,2672,1493,0,1658,2736,213,1499,2446,3354,780,3,2403,3516,-0.029,3.598,9.301,0.042,0.028,-0.011,0.551,-2.698,9.776,-0.002,0.025,0.016,happy
0.28,2553,2228,3155,2695,1489,0,1665,2779,229,1495,2446,3365,807,47,2399,3503,0.022,3.663,9.342,0.043,0.025,-0.007,0.596,-2.667,9.701,0.005,0.024,0.014,happy
0.29,2559,2232,3155,2695,1498,0,1670,2783,199,1519,2449,3359,809,43,2403,3503,-0.002,3.596,9.297,0.049,0.024,-0.008,0.584,-2.660,9.771,0.005,0.025,0.015,happy
0.30,2559,2219,3159,2660,1495,0,1673,2761,214,1501,2472,3357,793,44,2387,3504,-0.045,3.575,9.304,0.046,0.025,-0.003,0.589,-2.701,9.756,0.003,0.024,0.017,happy
0.31,2559,2239,3161,2695,1488,0,1682,2794,204,1496,2451,3335,799,45,2395,3497,-0.002,3.615,9.323,0.047,0.027,-0.005,0.539,-2.689,9.754,0.001,0.022,0.017,happy
0.32,2559,2247,3166,2704,1489,0,1692,2797,207,1503,2449,3334,755,43,2388,3496,-0.019,3.618,9.290,0.049,0.024,-0.003,0.589,-2.737,9.759,0.003,0.023,0.011,happy
0.33,2559,2250,3169,2671,1488,0,1690,2800,207,1503,2449,3356,799,43,2350,3483,-0.012,3.630,9.323,0.045,0.022,-0.004,0.558,-2.725,9.792,0.002,0.023,0.013,happy
0.34,2559,2255,3173,2705,1499,0,1689,2799,232,1448,2451,3357,791,45,2378,3541,-0.005,3.644,9.251,0.046,0.025,-0.003,0.555,-2.698,9.749,0.003,0.022,0.016,happy
0.35,2583,2256,3177,2703,1493,0,1693,2799,117,1519,2469,3339,857,43,2363,3439,0.002,3.649,9.266,0.046,0.027,-0.008,0.625,-2.674,9.764,0.004,0.019,0.011,happy
0.36,2581,2261,3181,2685,1475,0,1699,2800,215,1529,2469,3359,813,79,2365,3467,-0.026,3.675,9.294,0.046,0.022,-0.006,0.579,-2.684,9.747,0.004,0.022,0.013,happy
