timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0,3568,3111,3171,2375,343,0,0,0,1587,2554,0,2477,2567,1675,1579,3098,1.396,5.239,8.279,0.406,0.223,-0.024,2.236,-2.947,9.428,0.029,0.149,0.044,sad
0.01,3529,2835,3006,2219,144,0,0,0,1583,2503,30,2475,2621,1683,1581,3099,1.566,5.349,8.49,0.406,0.187,-0.089,2.32,-2.847,9.218,0.021,0.167,0.05,sad
0.02,3472,2666,2896,2096,134,0,0,0,1589,2557,0,2475,2567,1682,1583,3100,1.384,5.435,8.377,0.382,0.207,-0.201,2.066,-2.995,9.419,0.011,0.196,0.07,sad
0.03,3375,2469,2849,1983,0,0,0,0,1593,2556,0,2473,2575,1683,1581,3099,1.286,5.459,8.174,0.356,0.197,-0.312,2.284,-2.895,9.278,-0.016,0.136,0.031,sad
0.04,3171,2256,2649,1858,0,0,0,0,1592,2555,0,2475,2605,1684,1582,3099,1.147,5.703,8.341,0.327,0.055,-0.5,2.301,-3.086,9.455,0.011,0.16,0.049,sad
0.05,3025,2027,2402,1756,0,0,0,0,1499,2556,2,2476,2567,1679,1581,3099,1.511,5.607,8.167,0.351,-0.226,-0.743,2.267,-2.871,9.261,-0.004,0.254,0.087,sad
0.06,3030,1803,2158,1573,0,0,0,0,1593,2557,5,2468,2567,1686,1583,3100,1.432,5.772,7.954,0.349,-0.399,-0.998,2.43,-2.598,8.751,-0.081,0.406,0.166,sad
0.07,3007,1614,1925,1506,0,0,0,0,1593,2557,12,2477,2567,1683,1583,3099,1.322,5.909,8.071,0.303,-0.471,-1.24,2.049,-2.782,9.268,-0.274,0.479,0.3,sad
0.08,3003,1347,1653,1471,0,0,0,0,1593,2580,20,2473,2663,1681,1587,3097,1.252,5.954,7.932,0.243,-0.614,-1.467,1.867,-3.086,9.112,-0.271,0.499,0.283,sad
0.09,2953,1221,1342,1429,0,0,0,0,1593,2555,43,2473,2565,1683,1583,3096,1.027,6.084,7.92,0.17,-0.738,-1.628,2.507,-3.112,8.389,-0.242,0.725,0.343,sad
0.1,2925,1123,966,1373,0,0,0,0,1608,2556,15,2470,2567,1685,1583,3100,0.821,6.069,7.896,0.043,-0.764,-1.748,1.255,-3.608,10.501,-0.258,0.57,0.309,sad
0.11,2674,1022,611,1328,0,0,0,0,1597,2571,25,2476,2568,1685,1583,3096,0.713,6.065,7.74,-0.077,-0.84,-1.852,1.47,-3.347,10.034,-0.174,0.492,0.252,sad
0.12,2831,849,404,1325,0,0,0,0,1604,2551,53,2477,2567,1675,1578,3063,0.402,6.065,7.681,-0.172,-0.942,-1.941,1.13,-3.369,9.823,-0.196,0.488,0.241,sad
0.13,2786,749,236,1280,0,0,0,0,1591,2550,0,2476,2571,1672,1570,3101,0.376,5.966,7.968,-0.288,-1.029,-2.014,1.257,-3.462,9.766,-0.192,0.378,0.31,sad
0.14,2766,766,0,1163,0,0,0,0,1604,2551,61,2477,2569,1651,1577,3101,0.031,5.909,8.025,-0.356,-1.061,-2.057,1.14,-3.318,9.23,-0.168,0.352,0.257,sad
0.15,2735,640,0,1087,0,0,0,0,1604,2551,772,2478,2568,1672,1578,3098,0.275,5.667,8.042,-0.401,-1.098,-2.086,1.164,-3.56,9.397,-0.085,0.388,0.211,sad
0.16,2731,611,0,985,0,0,0,0,1596,2543,1092,2477,2571,1674,1515,3099,0.323,5.737,8.188,-0.441,-1.175,-2.105,0.994,-3.845,9.464,-0.053,0.319,0.145,sad
0.17,2701,528,0,848,0,0,0,0,758,759,1768,2204,1070,60,2637,4095,0.302,5.497,8.195,-0.482,-1.206,-2.122,0.898,-3.644,9.38,-0.025,0.167,0.058,sad
0.18,2659,459,0,784,0,0,0,0,859,567,1870,2443,985,47,2457,4095,-0.05,5.315,8.435,-0.509,-1.227,-2.125,0.903,-3.685,9.378,-0.012,0.125,0.038,sad
0.19,2599,380,0,677,0,0,0,0,1021,491,1914,2513,915,48,2404,4095,0.017,5.155,8.358,-0.52,-1.27,-2.11,0.893,-3.649,9.301,-0.009,0.111,0.027,sad
0.2,2448,218,0,551,0,0,0,0,1067,466,1911,2601,713,51,2421,4095,0.031,5.104,8.478,-0.53,-1.31,-2.106,0.905,-3.651,9.388,-0.003,0.102,0.007,sad
0.21,2154,73,0,229,0,0,0,0,1130,553,1986,2735,667,71,2372,4095,0.026,4.99,8.863,-0.493,-1.468,-2.217,0.814,-3.318,9.397,0.015,0.068,0.023,sad
0.22,1475,0,0,0,0,0,0,0,1287,355,1983,2789,671,51,2349,4095,0.591,5.574,8.899,-0.533,-1.431,-2.559,0.766,-3.285,9.455,-0.01,0.068,0.041,sad
0.23,740,0,0,0,0,0,0,0,1375,340,1986,2830,669,51,2311,4095,-0.704,6.807,9.742,-1.007,-1.214,-2.681,0.891,-3.591,9.323,-0.012,0.069,0.017,sad
0.24,67,0,0,0,0,0,0,0,1514,319,1993,2953,683,49,2439,4095,-6.218,10.108,11.954,-1.104,-1.366,-2.571,0.826,-3.615,9.333,-0.006,0.066,0.016,sad
0.25,84,0,0,0,0,0,0,0,1581,331,1986,2972,651,47,2505,4095,-2.423,5.816,8.107,-1.378,-1.874,-2.631,0.807,-3.61,9.38,-0.02,0.065,0.011,sad
0.26,0,0,0,0,0,0,0,0,1642,301,1963,3017,733,42,2451,4095,-0.998,4.824,6.498,-0.945,-1.557,-2.701,0.783,-3.622,9.333,-0.019,0.059,-0.003,sad
0.27,0,0,0,0,0,0,0,0,1695,293,1952,3048,639,45,2488,4095,-0.512,4.982,7.154,-0.658,-1.179,-2.574,0.737,-3.51,9.378,-0.011,0.045,-0.002,sad
0.28,0,0,0,0,0,0,0,0,1709,314,1950,3064,597,122,2502,4095,-0.529,4.681,7.784,-0.321,-0.816,-2.346,0.876,-3.606,9.371,-0.023,0.049,0,sad
0.29,0,0,0,0,0,0,0,0,1747,328,1932,3101,563,47,2414,4095,-0.852,4.365,9.21,-0.201,-0.62,-2.16,0.826,-3.587,9.357,-0.037,0.04,-0.011,sad
0.3,0,0,0,0,0,0,0,0,1753,291,1932,3119,523,47,2357,4095,-0.972,2.854,8.878,-0.124,-0.536,-2.15,0.86,-3.606,9.309,-0.038,0.038,-0.013,sad
0.31,0,0,0,0,0,0,0,0,1758,357,1922,3117,533,47,2319,4095,-0.898,2.16,9.931,-0.074,-0.553,-2.24,0.716,-3.622,9.323,-0.037,0.027,-0.014,sad
0.32,0,0,0,0,0,0,0,0,1754,395,1952,3165,441,42,2376,4095,-0.814,2.002,10.532,-0.192,-0.635,-2.409,0.776,-3.67,9.359,-0.027,0.025,-0.013,sad
0.33,0,0,0,0,0,0,0,0,1766,503,1932,3175,500,46,2344,4095,-0.766,2.095,10.087,-0.339,-0.422,-2.769,0.745,-3.572,9.33,-0.02,0.002,-0.019,sad
0.34,0,0,0,0,0,0,0,0,1791,466,1978,3180,501,55,2365,4095,-1.132,2.907,9.366,-0.303,0.025,-3.223,0.764,-3.62,9.385,-0.017,0.015,-0.012,sad
0.35,0,0,0,0,0,0,0,0,1772,503,1991,3193,583,51,2470,4095,-0.108,4.032,8.753,-0.208,0.292,-3.581,0.718,-3.699,9.318,-0.028,0.016,-0.014,sad
0.36,0,0,0,0,0,0,0,0,1761,703,2021,3197,531,51,2461,4095,2.931,4.913,8.871,-0.019,-0.144,-3.317,0.792,-3.661,9.373,-0.017,0.009,-0.02,sad
0.37,0,0,0,0,0,0,0,0,1756,695,2029,3209,556,47,2476,4095,6.783,4.664,7.013,0.171,-0.189,-2.49,0.797,-3.687,9.426,-0.005,0.019,-0.014,sad
0.38,0,0,0,0,0,0,0,0,1766,715,2032,3221,553,47,2549,4095,7.221,4.125,6.024,0.58,-0.187,-1.324,0.821,-3.634,9.328,0.014,0.006,-0.011,sad
0.39,0,0,0,0,0,0,0,0,1737,739,2029,3225,602,53,2585,4095,7.479,4.101,5.777,0.884,-0.217,-0.64,0.812,-3.618,9.306,0.004,0.01,-0.007,sad
0.4,0,0,0,0,0,0,0,0,1723,725,2034,3227,654,47,2577,4095,13.616,6.074,6.381,1.006,-3.832,0.567,0.745,-3.646,9.258,-0.004,0.02,0.006,sad
0.41,94,0,0,0,0,0,0,0,1707,709,2027,3232,718,47,2601,4095,-2.368,4.97,12.107,0.506,-1.031,-0.953,0.797,-3.622,9.364,-0.017,0.031,0.016,sad
0.42,393,0,0,0,0,0,0,0,1759,682,2019,3243,681,47,2403,4095,-0.366,4.544,11.468,0.312,-1.524,-0.823,0.845,-3.654,9.359,-0.011,0.039,0.03,sad
0.43,642,0,0,315,0,0,0,0,1774,691,2003,3189,603,50,2462,4095,1.422,4.032,9.977,0.143,-0.485,-0.941,0.821,-3.694,9.323,-0.007,0.048,0.035,sad
0.44,967,0,0,669,0,0,0,0,1783,659,2085,3245,457,45,2422,4095,-1.216,4.228,10.973,-0.138,0.073,-0.198,0.879,-3.699,9.354,-0.009,0.059,0.039,sad
0.45,1134,0,0,971,0,0,0,0,1811,627,1847,3255,200,42,2248,4095,-1.599,3.57,9.16,0.038,-0.548,0.082,0.819,-3.666,9.285,-0.003,0.072,0.042,sad
0.46,1284,0,0,1200,0,0,0,0,1816,559,1835,3259,199,43,2141,4095,-0.177,3.632,9.388,-0.037,-0.5,0.068,0.721,-3.67,9.275,0.005,0.062,0.037,sad
0.47,1365,0,0,1363,0,0,0,494,1785,503,1819,3247,55,17,2069,4095,0.611,3.553,9.191,-0.055,-0.364,0.226,0.886,-3.721,9.268,0.009,0.052,0.034,sad
0.48,1434,145,0,1456,0,0,0,1494,1709,457,1758,3222,4,0,1867,4095,1.836,3.984,9.783,-0.172,-0.208,0.148,0.785,-3.625,9.404,0.007,0.075,0.041,sad
0.49,1475,198,0,1584,0,0,0,2266,1612,475,1753,3196,2,4,1759,4095,0.881,3.577,9.5,-0.12,-0.201,0.17,0.776,-3.682,9.359,-0.003,0.073,0.042,sad
0.5,1457,615,8,1699,0,0,0,2639,1482,507,1446,3131,3,2,1435,4095,0.014,3.227,9.182,-0.052,-0.371,0.168,0.749,-3.742,9.313,0.009,0.09,0.046,sad
0.51,1366,1233,615,1776,0,0,0,2848,1364,379,1292,3043,6,4,1199,4095,0.754,3.335,9.424,-0.014,-0.491,0.193,0.759,-3.747,9.347,0.084,0.11,0.066,sad
0.52,1351,1647,1145,1776,346,0,0,3013,1199,281,975,2972,3,5,1041,4095,0.79,3.45,9.416,0.013,-0.347,0.203,0.742,-3.759,9.388,0.125,0.125,0.074,sad
0.53,1279,1717,1516,1667,522,0,300,2964,734,0,0,2811,0,0,859,4095,0.795,3.452,9.416,0.068,-0.218,0.241,0.874,-3.903,9.491,0.253,0.194,0.083,sad
0.54,1247,2000,1789,1823,698,0,655,3283,239,0,0,2621,0,0,821,4087,0.718,3.402,9.234,0.041,-0.113,0.194,1.152,-4.049,9.553,0.601,0.373,0.055,sad
0.55,1154,2194,2027,1859,983,0,1125,3392,29,0,0,2460,0,0,397,4069,0.895,3.381,9.318,0.005,-0.125,0.13,0.893,-4.063,9.893,0.901,0.501,0.074,sad
0.56,1008,2352,2222,1877,1143,0,1296,3472,1,1,5,1711,0,0,361,3561,0.922,3.385,9.297,0.008,-0.139,0.112,0.491,-3.326,9.407,0.907,0.441,-0.014,sad
0.57,834,2469,2398,1963,1387,0,1728,3519,0,0,0,986,4,0,219,3321,0.95,3.469,9.361,0.013,-0.101,0.092,1.231,-3.917,9.404,1.018,0.582,-0.07,sad
0.58,665,2672,2534,2060,1616,0,1947,3567,0,0,0,623,0,0,347,3275,1.044,3.273,9.45,0.074,-0.108,0.081,0.761,-3.4,10.044,1.089,0.676,-0.062,sad
0.59,618,2761,2633,2083,1826,0,2138,3608,0,0,30,372,0,0,83,3175,1.104,3.476,9.44,0.129,-0.135,0.052,2.128,-3.371,10.077,1.204,0.789,-0.178,sad
0.6,445,2813,2673,1987,2011,0,2311,3616,0,0,0,59,0,0,0,2956,1.025,3.498,9.345,0.097,-0.149,0.064,2.277,-1.98,9.857,0.947,0.853,-0.496,sad
0.61,315,2685,2501,1735,1914,0,2263,3422,0,0,0,20,0,0,0,2809,0.958,3.488,9.364,0.078,-0.164,0.051,4.499,-2.421,12.093,0.587,0.299,-1.055,sad
0.62,366,2937,2757,1960,2240,0,2559,3653,0,1,0,11,0,0,0,3003,1.192,3.323,9.337,0.077,-0.15,0.066,4.721,-2.895,8.914,0.421,0.247,-2.092,sad
0.63,382,2977,2768,2007,2341,0,2534,3657,1531,2585,0,2460,2552,1717,1611,3095,1.391,3.476,9.392,0.061,-0.113,0.051,4.123,-3.347,9.584,0.353,0.51,-2.864,sad
0.64,333,3065,2838,1966,2593,0,2752,3663,1527,2583,0,2456,2543,1695,1605,3094,1.271,3.553,9.388,0.025,-0.131,0.067,3.603,-3.519,9.215,0.348,0.686,-3.155,sad
0.65,278,3058,2829,1937,2624,0,2768,3632,1559,2572,0,2468,2553,1689,1591,3098,1.223,3.462,9.361,0.026,-0.116,0.074,2.909,-3.603,9.275,0.327,0.973,-3.672,sad
0.66,202,3142,2864,1871,2765,0,2874,3657,1566,2569,0,2473,2556,1687,1577,3107,1.413,3.481,9.378,0.033,-0.134,0.067,1.992,-4.568,8.258,0.171,1.282,-4.007,sad
0.67,214,3168,2865,1808,2874,0,2933,3643,53,0,0,70,0,6,0,1850,1.204,3.57,9.653,0.045,-0.2,0.088,1.769,-5.643,8.272,0.09,1.334,-4.177,sad
0.68,85,3163,2852,1562,2999,0,3006,3627,0,0,0,59,0,0,0,1737,1.389,3.615,9.785,0.049,-0.389,0.123,1.216,-6.953,7.341,-0.083,1.427,-4.366,sad
0.69,8,3165,2766,1286,3159,0,3071,3614,1573,2565,0,2473,2568,1685,1581,3101,0.927,3.294,10.113,0.175,-0.464,0.12,-0.239,-6.503,7.966,-0.29,1.321,-4.366,sad
0.7,0,3198,2687,894,3304,0,3133,3574,1565,2555,0,2461,2577,1711,1575,3104,1.171,4.269,10.036,0.107,-0.525,0.168,-1.041,-6.041,8.602,-0.385,1.276,-4.366,sad
0.71,0,3268,2531,223,3413,0,3173,3503,1586,2555,0,2527,2575,1673,1577,3103,1.142,2.605,8.346,0.067,-0.666,0.191,-3.474,-4.345,8.655,-0.626,0.938,-3.844,sad
0.72,0,3250,2352,0,3447,0,3229,3407,1515,2557,0,2475,2569,1678,1579,3097,1.832,3.656,9.438,-0.015,-0.74,0.212,-4.863,-2.835,10.587,-0.722,0.488,-2.743,sad
0.73,0,3316,2103,0,3563,0,3251,3294,1565,2568,0,2469,2565,1687,1587,3099,1.276,3.211,9.56,0.038,-0.689,0.242,-4.223,-2.555,11.286,-0.608,0.584,-2.155,sad
0.74,0,3342,1793,0,3600,0,3265,3034,44,0,0,0,0,0,0,1324,2.413,3.579,9.292,-0.036,-0.591,0.2,-2.09,-1.788,10.963,-0.348,0.554,-1.414,sad
0.75,0,3138,1271,0,3488,0,3219,2735,968,2662,0,2575,2333,1996,1765,3162,2.413,3.306,9.019,-0.064,-0.506,0.149,-0.318,-1.374,10.044,-0.204,0.482,-1.215,sad
0.76,0,3293,965,0,3649,0,3324,2861,1525,2584,0,2459,2547,1699,1605,3055,2.617,3.079,8.657,-0.052,-0.429,0.117,0.481,-1.549,10.017,-0.145,0.526,-1.243,sad
