timestamp,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,acc_x_left,acc_y_left,acc_z_left,gyro_x_left,gyro_y_left,gyro_z_left,acc_x_right,acc_y_right,acc_z_right,gyro_x_right,gyro_y_right,gyro_z_right,mood
0.00,2871,2122,3095,2850,1870,0,2891,3579,367,251,2311,2552,203,35,2735,3704,0.761,2.492,9.673,0.046,0.030,-0.008,0.934,-2.911,9.680,0.006,0.021,0.012,sad
0.01,2881,2126,3086,2855,1878,0,2885,3580,339,271,2311,2552,199,41,2744,3708,0.785,2.452,9.641,0.046,0.035,-0.006,0.943,-2.904,9.668,0.009,0.023,0.015,sad
0.02,2875,2119,3071,2859,1886,0,2883,3583,327,271,2321,2557,79,0,2762,3717,0.699,2.480,9.639,0.040,0.027,-0.009,0.917,-2.940,9.673,0.011,0.026,0.014,sad
0.03,2873,2128,3071,2854,1878,0,2883,3583,315,276,2290,2556,205,41,2805,3711,0.757,2.468,9.740,0.044,0.029,-0.003,0.910,-2.954,9.675,0.012,0.020,0.013,sad
0.04,2873,2124,3060,2849,1875,0,2889,3583,309,240,2290,2535,187,41,2778,3726,0.807,2.461,9.680,0.047,0.035,-0.010,0.883,-2.947,9.656,0.016,0.020,0.007,sad
0.05,2877,2112,3056,2844,1869,0,2886,3583,253,203,2265,2516,189,37,2803,3769,0.723,2.471,9.694,0.042,0.030,-0.007,0.924,-2.940,9.658,0.015,0.019,0.010,sad
0.06,2867,2114,3046,2839,1874,0,2895,3601,213,171,2213,2475,184,35,2807,3737,0.802,2.483,9.653,0.040,0.026,-0.007,0.919,-2.921,9.697,0.020,0.021,0.011,sad
0.07,2865,2116,3029,2831,1853,0,2896,3606,179,127,2218,2461,170,31,2809,3743,0.745,2.519,9.689,0.041,0.028,-0.008,0.903,-2.911,9.572,0.010,0.023,0.010,sad
0.08,2861,2099,3023,2819,1886,0,2896,3614,140,117,2172,2429,183,25,2823,3751,0.778,2.461,9.675,0.041,0.031,-0.006,0.931,-2.892,9.685,0.012,0.017,0.009,sad
0.09,2854,2102,3011,2817,1875,0,2901,3617,127,89,2152,2405,191,21,2827,3753,0.728,2.444,9.665,0.038,0.030,-0.007,0.979,-2.907,9.697,0.012,0.017,0.013,sad
0.10,2849,2111,3010,2815,1871,0,2909,3626,109,84,2070,2359,173,20,2829,3758,0.797,2.442,9.663,0.042,0.030,-0.004,0.898,-2.878,9.601,0.013,0.017,0.011,sad
0.11,2837,2086,2997,2800,1827,0,2913,3634,89,42,1991,2207,155,8,2829,3764,0.797,2.480,9.639,0.042,0.026,-0.006,0.972,-2.909,9.639,0.020,0.017,0.011,sad
0.12,2831,2085,2988,2800,1744,0,2922,3639,45,63,1978,2147,117,11,2825,3768,0.711,2.497,9.697,0.035,0.031,-0.008,0.936,-2.875,9.661,0.018,0.016,0.011,sad
