cadence,stride_time_mean,stride_time_std,mean_pressure_left,mean_pressure_right,peak_pressure_left,peak_pressure_right,pressure_variance_left,pressure_variance_right,heel_to_toe_ratio_left,heel_to_toe_ratio_right,contact_area_left,contact_area_right,impact_force_left,impact_force_right,imu_acc_mean_left,imu_acc_mean_right,imu_acc_std_left,imu_acc_std_right,imu_gyro_mean_left,imu_gyro_mean_right,imu_gyro_std_left,imu_gyro_std_right,step_symmetry,force_symmetry,mood
105.0,0.5966666666666667,0.0817856276425686,1230.47125,900.53,4043.0,4095.0,2220964.5591734378,1905438.000975,1.3250901029672444,1.8,1458,1116,2812.52875,3194.4700000000003,5.517919166666667,2.5083333333333333,6.624464313509883,7.659862056235449,0.1797825,0.1949341666666667,2.1143081587587345,1.9663955667242128,0.8584474846646234,1.3663856269459258,angry
75.0,0.85,0.1972308292331602,994.3928125,661.230625,4009.0,4073.0,1974763.61163584,1368936.158062109,0.9986885730773852,1.8,1280,931,3014.6071875,3411.769375,6.702693333333333,2.6008375,6.5914279480465305,9.027875063532967,-0.1146158333333333,-0.0354016666666666,2.338324281385277,2.4074084251182963,0.6063348388853628,1.5038517173885408,angry
90.0,0.6439999999999999,0.1174052809715133,954.9275,727.62375,4055.0,4095.0,1954542.55099375,1458689.8828109377,1.0600951291839202,1.8,1217,1031,3100.0725,3367.3762500000003,6.900838333333333,2.4079883333333334,6.728273901395307,8.87370655249901,0.1547666666666666,0.0419583333333333,2.3604143945267086,2.293877134517865,0.5635593196459351,1.3123918765537934,angry
105.0,0.64,0.099498743710662,1105.0121875,733.083125,4055.0,4095.0,2122377.032038965,1420437.4418402342,1.211760566217271,1.8,1361,1058,2949.9878125,3361.916875,6.603706666666667,2.4636175,5.721121294724973,7.984206266928504,0.302855,0.0902466666666666,2.0094436304547085,1.9599641031973576,0.6363636337340346,1.50734909631517,angry
90.0,0.674,0.0911262859991561,1063.6609375,752.01,4038.0,4011.0,2087583.437224121,1449647.3592749997,1.3766403255605255,1.8,1302,1062,2974.3390625,3258.99,6.753498333333334,2.648120833333333,5.387202208938998,7.907596770062274,0.252325,0.0257883333333333,1.948423507875448,1.9569212320710705,0.6291666640451389,1.414423925327557,angry
90.0,0.7060000000000001,0.1412232275512778,1004.0503125,773.9515625,4045.0,4036.0,2065482.825281152,1488827.4185913086,0.915038412369189,1.8,1211,1073,3040.9496875,3262.0484375,6.9943325000000005,2.4604700000000004,5.836290790557282,8.416018903105751,0.1722366666666666,0.018925,2.2006649716215825,2.127819292384028,0.523206748847229,1.2973038105374923,angry
90.0,0.622,0.0617737808459219,1074.62875,782.590625,4045.0,4036.0,2096249.6346734376,1456122.4667871094,0.859092953508688,1.8,1307,1104,2970.37125,3253.409375,6.710342499999999,2.47951,6.180042981662324,8.141413178101617,0.3261633333333333,0.1470633333333333,2.2297926260055863,2.088979988971225,0.5550847434106578,1.37316844119725,angry
105.0,0.6283333333333333,0.128894875339902,1068.14375,745.429375,4075.0,3941.0,2061036.7693359368,1438210.0256371093,1.0763373003488044,1.8,1323,1044,3006.85625,3195.570625,6.694784166666667,2.7560575000000003,6.204833192835725,8.089903329615694,0.2894858333333333,0.1122375,2.2349135579404344,2.175658538104517,0.626086953799622,1.4329241433060989,angry
90.0,0.648,0.1442775103749714,1033.818125,755.5115625,4075.0,3941.0,2055851.436296485,1444372.9236163085,1.0074228823614382,1.8,1270,1053,3041.181875,3185.4884375,6.7698833333333335,2.6662416666666666,6.043085080739436,8.343722495081591,0.2301566666666666,0.0339341666666666,2.180693925211779,2.2039568560128333,0.6126126098530964,1.3683683677993104,angry
90.0,0.6519999999999999,0.1257616793780999,1012.6421875,795.5778125,4043.0,3979.0,2059387.8791577143,1441105.6839452148,0.8531899894530629,1.8,1233,1125,3030.3578125,3183.4221875,6.849665833333332,2.632040833333333,6.130296934692423,8.035624890915411,0.3641883333333333,0.0686533333333333,2.1829627442684147,2.095591813344277,0.603864731382296,1.2728386467252837,angry
90.0,0.618,0.1172006825918688,1123.1815625,701.165625,4048.0,3979.0,2131901.3360975585,1387639.1281933591,0.7372380655116465,1.8,1404,961,2924.8184375,3277.834375,6.8075425,2.6336975,5.880461356180065,8.261615665493467,0.0615141666666666,-0.0415925,2.285015834328646,2.1677496295568246,0.6421568595972703,1.6018776746194914,angry
90.0,0.7179999999999999,0.1228657804272613,1024.3034375,730.4828125,4048.0,3900.0,2052593.153238184,1453356.49845459,0.7540826967883072,1.8,1282,981,3023.6965625000003,3169.5171875,6.821570833333333,2.6028975,6.155210759726209,8.684136991299734,-0.08757,-0.1481016666666666,2.352837622269473,2.246349051905608,0.5518867898495906,1.402227976579219,angry
105.0,0.5866666666666667,0.0381517438075319,1071.638125,708.8446875,4080.0,3983.0,2110657.8996714843,1411821.7868155274,0.926545384126892,1.8,1300,967,3008.361875,3274.1553125,6.838544166666667,2.474750833333333,6.337000237997679,8.634307933495075,0.2064541666666666,0.0161908333333333,2.3083966444047923,2.281248560784782,0.7031249963378906,1.5118094871638443,angry
90.0,0.68,0.1412798640995949,1092.8234375,719.514375,4080.0,3983.0,2094302.074138184,1431802.7872933596,0.9861716063876258,1.8,1344,992,2987.1765625,3263.4856250000003,6.728423333333334,2.423197500000001,6.169523089141944,8.427129683854032,-0.1150766666666666,-0.0426266666666666,2.257795386903388,2.2463623429051296,0.7219512159904818,1.518834750148203,angry
90.0,0.6920000000000001,0.1410531814600436,1009.0284375,752.5334375,4043.0,3927.0,2028302.2426288084,1443702.1726319334,1.1116595181379372,1.8,1236,1058,3033.9715625,3174.4665625,6.7186691666666665,2.49474,6.226447668190585,8.299949122478603,0.0326383333333333,-0.0446491666666666,2.276774606586524,2.1679057923295404,0.5854700829680766,1.340841995687611,angry
90.0,0.692,0.1741723284566179,983.159375,711.9778125,4055.0,3977.0,2021147.173974609,1403277.6298202148,0.9851594836985178,1.8,1207,1009,3071.840625,3265.0221875,6.8231075,2.4590375000000004,6.245560909767066,8.77890460570644,0.1446725,0.0069283333333333,2.291118243037029,2.2310906316262806,0.5391304324385633,1.3808848483169762,angry
